Trial,F_out0,F_in0,k_deg_out,k_deg_in,k_perm,R_squared,RMSE
Sample 2 DS in HEPES (A02),32.334933856390414,14.429883357638731,0.08552441504777387,0.00425623122637806,0.0068236103990869535,0.9880111891909221,0.3780507203021758
Sample 2 DS in HEPES (A03),30.485499246781654,8.229562734017147,0.09007090054967569,0.003239952622229708,0.08693879876517668,0.9919859930850401,0.2827262229631202
Sample 2 DS in HEPES (A04),30.147908046800705,7.527706288707332,0.08756211063286526,0.003376033591029521,0.08433064543692398,0.992836126903724,0.25527191090705925
