Trial,F_out0,F_in0,k_deg_out,k_deg_in,k_perm,R_squared,RMSE
Sample 2 DDP in HEPES (A02),13.287970986549333,27.236699999999995,0.09791320565195012,0.004540385258476249,0.006564807922397126,0.9899308161276362,0.4362316092206516
Sample 2 DDP in HEPES (A03),11.355087605656253,29.360599999999998,0.09791320565195012,0.004573657985952974,0.009030660438429138,0.9865625543716599,0.6236314389909671
Sample 2 DDP in HEPES (A04),10.653331520263448,27.79229999999979,0.09791320565195012,0.003932911562046714,0.007799627944380683,0.989491016643873,0.5349000925484
