Trial,F_out0,F_in0,k_deg_out,k_deg_in,k_perm,R_squared,RMSE
Sample 2 DDP in HEPES (A02),13.858432567224117,13.316069412041918,0.09791320565195012,0.005388744651142113,0.004351954888345618,0.9904148126447465,0.42561830570344966
Sample 2 DDP in HEPES (A03),13.475707457602445,16.482561596372435,0.09791320565195012,0.01388276522821079,0.0013371193887015077,0.9929579481856644,0.4514599708212744
Sample 2 DDP in HEPES (A04),11.756617896545267,16.158648523037336,0.09791320565195012,0.00515395456681275,0.003916768784827042,0.9912486425439143,0.48812385510239126
