Trial,F_out0,F_in0,k_deg_out,k_deg_in,k_perm,R_squared,RMSE
0.64 Trial 1,62.31800365677264,307.40777192101433,0.015331702153155113,0.000226757806707257,9.999999990442033,0.9995335852241627,0.4824858463741498
0.64 Trial 2,59.280178619329696,230.58262114565233,0.006018294944499097,0.00045993194787411395,9.999999999999998,0.999839489480808,0.3881604787570157
0.64 Trial 3,110.1703951325697,210.71756361046286,0.005412675124286294,0.0005251884567417272,9.999999999999998,0.9998694106361483,0.503800888494834
