Trial,F_out0,F_in0,k_deg_out,k_deg_in,k_perm,R_squared,RMSE
Sample 2 DDP in HEPES (A02),13.287971003295224,27.236699999999995,0.09791320565195012,0.004540385252495852,0.006564807906791172,0.9899308161276361,0.4362316092206531
Sample 2 DDP in HEPES (A03),11.355096963762687,29.360599999999973,0.09791320565195012,0.004573656591166813,0.009030652369329921,0.9865625543715301,0.62363143899398
Sample 2 DDP in HEPES (A04),10.653331257084226,27.792299999993595,0.09791320565195012,0.003932911591301666,0.007799628143984865,0.9894910166438718,0.5349000925484277
