Trial,F_out0,F_in0,k_deg_out,k_deg_in,k_perm,R_squared,RMSE
0.64 DOPC in HEPES (A02),22.040988472999963,54.165500576172896,0.0985661074999322,0.00020834505694855118,0.16260867575903556,0.8735936026580142,2.0741689785302104
0.64 DOPC in HEPES (A03),30.52410851662239,81.13511793121134,0.0985661074999322,0.00017022339473896073,0.1717698256202591,0.8848689078102514,2.51764744613867
0.64 DOPC in HEPES (A04),45.974103021511866,95.03470711139407,0.0985661074999322,0.00018330501944735647,0.17350490742403915,0.8722547542872667,3.396318446407754
