Trial,F_out0,F_in0,k_deg_out,k_deg_in,k_perm,R_squared,RMSE
0.64 DOPC in HEPES (A02),22.034877164896873,54.23524244500311,0.0985661074999322,0.0002083496120219515,0.16256264048310276,0.8735806651306668,2.0742751200383154
0.64 DOPC in HEPES (A03),30.514836951776424,81.21597066354954,0.0985661074999322,0.00017022751070939666,0.17241363470517365,0.8848500063417486,2.5178541030895407
0.64 DOPC in HEPES (A04),45.96319189721478,95.13571290133874,0.0985661074999322,0.0001833097855339087,0.17376516813094114,0.8722340481389387,3.396593688839042
