Trial,F_out0,F_in0,k_deg_out,k_deg_in,k_perm,R_squared,RMSE
Sample 2 DS in HEPES (A02),32.334933880233265,14.42988406224202,0.08552441472992695,0.004256231316003937,0.006823609954121943,0.988011189190911,0.37805072030235054
Sample 2 DS in HEPES (A03),30.48549924940957,8.229562733360712,0.09007090048153286,0.003239952622000208,0.08693879527402254,0.9919859930850411,0.28272622296310185
Sample 2 DS in HEPES (A04),30.147908073469374,7.527706288769296,0.08756211060493115,0.0033760335910647922,0.08433064072946325,0.9928361269037277,0.25527191090699564
