Trial,F_out0,F_in0,k_deg_out,k_deg_in,k_perm,R_squared,RMSE
5 mm Oleic in BICINE (A02),21.768909315125246,23.8264956963834,0.019061165704167608,0.0004215779084125636,0.018643169896565417,0.9973063708413833,0.26198854040494163
5 mm Oleic in BICINE (A03),22.399622715511168,22.405344046771404,0.015111413110561052,0.00031596420792860013,0.004046902723059291,0.9989442548659451,0.14375307839196833
5 mm Oleic in BICINE (A04),19.341350941826203,21.63837643472368,0.016720409255431525,0.00043052819596671487,0.01630064343580997,0.9966863992365581,0.2721963559011699
