Trial,F_out0,F_in0,k_deg_out,k_deg_in,k_perm,R_squared,RMSE
35 mm Decanoic in HEPES (A02),14.978332412506923,9.880995944575067,0.06834935855298536,0.003192890891685163,0.0497348444094217,0.991234866511971,0.2663648833211953
35 mm Decanoic in HEPES (A03),23.026129031886686,5.518989573980419,0.06834935855298536,0.0004780926481073877,0.11683496110419819,0.9448469867684273,0.47236372928538295
35 mm Decanoic in HEPES (A04),14.505394857917853,23.781199999999995,0.06834935855298536,0.0018745669590327758,0.0023382163383764624,0.9529736498489995,0.7899325978378151
