Trial,F_out0,F_in0,k_deg_out,k_deg_in,k_perm,R_squared,RMSE
30 mm Decanoic in HEPES (A02),39.19636332887359,2.859236011913425,0.09862538885261252,0.0020553009998348073,0.17485173623424968,0.9376288378622157,0.6574962949316174
30 mm Decanoic in HEPES (A03),24.897927004286633,24.748669309016822,0.09862538885261252,0.014936858742322173,0.1736077025202057,0.9592071540752889,0.8944562762312939
30 mm Decanoic in HEPES (A04),25.860561066521228,13.320971793393912,0.09862538885261252,0.015940805340910226,0.19821420535644038,0.9456704856119137,0.6846938124839327
