Trial,F_out0,F_in0,k_deg_out,k_deg_in,k_perm,R_squared,RMSE
Sample 2 DS in HEPES (A02),33.03198369851911,10.482776746579221,0.13627557378054736,0.0037010228522243783,0.23982161588219594,0.9831131614035947,0.44867946429603744
Sample 2 DS in HEPES (A03),32.81916549611287,9.127933242478056,0.13627557378054736,0.0036053999506892704,0.2409229719127044,0.9821579348445582,0.42185557747206526
Sample 2 DS in HEPES (A04),32.474149838385344,8.595442140636662,0.13627557378054736,0.0038684611185963043,0.23966690514744016,0.9813780150287312,0.4115684482019332
