Trial,F_out0,F_in0,k_deg_out,k_deg_in,k_perm,R_squared,RMSE
Sample 2 DS in HEPES (A02),33.027346601458675,10.646941709283285,0.13627557378054736,0.003701366665709867,0.239662853346826,0.9830982047594287,0.4488781176374819
Sample 2 DS in HEPES (A03),32.81363609246251,9.26680485925155,0.13627557378054736,0.0036058421798476127,0.24098909364987608,0.982136511236257,0.4221087700603937
Sample 2 DS in HEPES (A04),32.46844939358054,8.736674166157947,0.13627557378054736,0.003869025585726827,0.23967680681835932,0.9813536559080647,0.41183754328280386
