Trial,F_out0,F_in0,k_deg_out,k_deg_in,k_perm,R_squared,RMSE
33 Trial 1,82.12176256184581,22.143309241200452,0.009298848226240466,0.0009456987025232127,9.999999999999998,0.9995630517590838,0.4616076550486928
33 Trial 2,37.32104953682331,60.64446537507738,0.0075181978283108235,0.0012146119999425034,9.999999999999998,0.9998137255758178,0.24498548765653938
33 Trial 3,45.575009231338676,90.44899856603422,0.005662481940492502,0.0011845028564795427,0.0017178960757513128,0.9997684717138036,0.2214616895131785
