Trial,F_out0,F_in0,k_deg_out,k_deg_in,k_perm,R_squared,RMSE
0.32 Trial 1,57.618485397992515,332.5787293581789,0.009338958751406983,0.6896108307758594,4.398425960898951e-07,0.9982999606992076,0.7407956233782026
0.32 Trial 2,45.81655861817997,337.75748284365517,0.009338958751406983,0.0001349278702071018,0.02580849530740573,0.991790693380734,1.6105109871243388
0.32 Trial 3,49.27512974178539,322.5089507977852,0.009338958751406983,0.00015948184190178649,0.016358498689705035,0.9994654029994264,0.44163708058674794
