,0.16 Trial 1,0.16 Trial 2,0.16 Trial 3,0.16-Triton Trial 1,0.16-Triton Trial 2,0.16-Triton Trial 3
Time,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity
1,308.027,308.157,277.032,194.451,199.192,186.151
2,306.541666,306.307333,276.017666,191.657666,196.505666,183.139
3,305.322666,304.522,275.115666,188.987666,193.825333,180.189666
4,304.306,302.946666,274.300666,186.383,190.945333,177.383
5,303.527333,301.808333,273.773666,183.860333,188.091,174.714333
6,302.729,300.805333,273.214666,181.154666,185.156666,172.181333
7,302.036333,299.809666,272.851666,178.246333,182.404,169.633666
8,300.974666,298.393666,272.327333,175.463666,179.614333,167.218
9,299.979,297.069666,271.862666,172.808666,176.67,164.736333
10,299.110333,295.875666,271.187,170.306666,173.773,162.359333
11,298.351,294.884,270.409,167.876,171.041666,160.111666
12,297.613333,293.808666,269.451333,165.428,168.619333,157.875666
13,296.779,292.585,268.506666,162.994333,166.182333,155.753
14,295.927666,291.266666,267.728666,160.572666,163.722666,153.711666
15,295.155666,290.023,267.005333,158.221,161.228,151.625666
16,294.429333,288.972,266.267666,155.990333,158.681,149.384333
17,293.787333,288.076,265.559,153.711333,156.175,147.239333
18,293.187333,287.186,264.934666,151.342,153.775333,145.27
19,292.446999,286.195333,264.407333,149.056,151.498,143.247666
20,291.532,285.199333,263.957333,146.902666,149.314,141.141333
21,290.647,284.257333,263.596333,144.856333,147.13,139.043666
22,289.968666,283.258666,263.229,142.816333,144.932,137.094333
23,289.310333,282.308,262.701,140.74,142.662333,135.148
24,288.632666,281.260333,262.057333,138.699333,140.463,133.16
25,287.788666,280.393,261.445,136.583,138.321333,131.217
26,287.087333,279.638,260.925666,134.617,136.328,129.369
27,286.383666,278.677666,260.705333,132.600333,134.300666,127.596666
28,285.843,277.960333,260.038,130.646333,132.458,125.769
29,285.054333,276.992,259.708,128.582333,130.479666,123.960666
30,284.118,276.439666,258.864,126.731333,128.600666,122.192666
31,283.369333,275.553333,258.547333,124.888666,126.496,120.491333
32,282.904666,274.851666,257.511333,123.080666,124.579666,118.687333
33,282.48,274.293,256.889333,121.214666,122.603666,116.866666
34,281.937333,273.534333,256.291,119.501333,120.780333,115.179666
35,281.523666,273.128666,256.012333,117.703,118.956666,113.694
36,281.05,272.364333,255.597333,115.928333,117.149666,112.263333
37,280.400333,271.828,255.019333,114.214333,115.53,110.674
38,279.675,270.766666,254.590333,112.728666,113.853333,109.097333
39,279.179666,269.941,254.229666,111.219333,112.202333,107.392
40,278.931,269.136666,253.946,109.595,110.514333,105.943333
41,278.559666,268.484333,253.655333,107.879,108.821,104.482666
42,277.977666,267.797,253.285666,106.268333,107.101333,103.160666
43,277.298,267.174666,252.911333,104.686,105.432,101.707666
44,276.718,266.768666,252.592666,103.197666,103.865333,100.299
45,276.233333,266.455,252.211666,101.709,102.37,98.892333
46,275.819666,266.159666,251.703333,100.235333,100.807666,97.452333
47,275.489,265.657,251.122,98.801999,99.248666,96.042333
48,275.087,264.923333,250.618333,97.383333,97.744,94.731666
49,274.617666,264.150333,250.255,95.914333,96.281333,93.45
50,274.226333,263.456666,250.006666,94.449333,94.909333,92.121
51,273.883333,262.997333,249.805333,93.108999,93.602,90.850333
52,273.549333,262.763,249.441,91.821333,92.237666,89.687
53,273.092333,262.320333,248.872666,90.528666,90.812666,88.484666
54,272.505,261.651333,248.358333,89.114999,89.52,87.171666
55,271.883333,260.849,247.919333,87.721333,88.304,85.892666
56,271.331,260.102333,247.715666,86.431999,87.027999,84.718
57,270.878666,259.941,247.467666,85.196333,85.710333,83.636666
58,270.667333,259.492333,247.275333,84.073666,84.417333,82.554999
59,270.508,259.219333,246.931333,82.872333,83.237666,81.452
60,270.178,258.492666,246.421,81.658999,82.012,80.392666
61,269.809666,258.074,246.056666,80.412,80.775,79.265666
62,269.357666,257.674666,245.714666,79.183666,79.597666,78.182666
63,269.033,257.283,245.569,78.116666,78.516333,77.083999
64,268.458333,256.799666,245.226666,76.971333,77.484333,76.118333
65,268.227333,256.308666,244.914333,75.984666,76.424666,75.127666
66,268.127,255.895333,244.625,74.930333,75.315666,74.250666
67,267.817333,255.566666,244.339,73.937,74.204999,73.260666
68,267.179333,255.349,244.234333,72.801333,73.139,72.280999
69,266.596333,255.129666,243.838,71.725666,72.093,71.178
70,266.375333,254.864333,243.468333,70.699333,71.069333,70.239666
