,Trial 1,Trial 2,Trial 3,Triton Trial 1,Triton Trial 2,Triton Trial 3
Time,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity
103,36.017,34.161333,26.028666,7.619,7.252666,7.327999
104,36.010666,34.12,26.015333,7.641666,7.246333,7.344
105,36.009333,34.101,25.940666,7.628333,7.244666,7.345333
106,35.937,34.021666,25.875,7.602,7.245666,7.346666
107,35.800666,33.979333,25.821333,7.595,7.249,7.335333
108,35.725333,33.957333,25.800666,7.596999,7.252333,7.321333
109,35.721333,33.958,25.779,7.594666,7.256,7.31
110,35.745,33.913666,25.720333,7.581666,7.254666,7.313666
111,35.726333,33.807333,25.615333,7.554333,7.250666,7.322
112,35.645666,33.695666,25.534666,7.521,7.247999,7.321
113,35.583666,33.618,25.514,7.505666,7.241,7.318333
114,35.545333,33.615,25.465666,7.513333,7.234,7.311
115,35.512,33.562,25.417333,7.517,7.232666,7.308666
116,35.455,33.527666,25.365333,7.505999,7.238,7.298999
117,35.380666,33.466333,25.347666,7.47,7.243,7.291999
118,35.325333,33.465,25.309333,7.458666,7.259666,7.305999
119,35.297666,33.423666,25.286,7.46,7.261666,7.316666
120,35.289333,33.406333,25.337,7.456333,7.262333,7.330666
121,35.257666,33.334333,25.318333,7.440666,7.243333,7.309666
122,35.189333,33.247666,25.193666,7.429,7.244,7.300999
123,35.044333,33.155333,25.143666,7.43,7.245666,7.295333
124,34.918333,33.101333,25.116,7.415,7.252666,7.294666
125,34.871333,33.086,25.118,7.406666,7.244333,7.294666
126,34.883,33.046333,25.059666,7.385,7.244,7.294666
127,34.857333,32.966666,25.032666,7.381666,7.237666,7.310333
128,34.800999,32.891333,25.024,7.373666,7.238333,7.317666
129,34.698666,32.805666,24.956666,7.367666,7.237333,7.319
130,34.666999,32.774,24.905,7.374,7.237333,7.312666
131,34.584333,32.742,24.859333,7.381,7.248333,7.316999
132,34.594666,32.765,24.812,7.390666,7.256666,7.329999
133,34.553666,32.704666,24.675333,7.392333,7.259333,7.334999
134,34.522666,32.576333,24.606,7.375666,7.253666,7.334999
135,34.430333,32.489999,24.584666,7.364,7.241333,7.315
136,34.383666,32.508666,24.627,7.359666,7.242,7.301
137,34.366,32.536666,24.623333,7.364666,7.243666,7.286333
138,34.397,32.495666,24.604333,7.379666,7.248333,7.290333
139,34.430666,32.427666,24.580666,7.388999,7.250333,7.302
140,34.435,32.386333,24.534666,7.379333,7.245666,7.305333
141,34.374,32.324333,24.46,7.362333,7.241666,7.304
142,34.268333,32.242,24.414333,7.345666,7.239,7.307666
143,34.185666,32.186333,24.416333,7.329333,7.239,7.315666
144,34.158333,32.168333,24.416,7.317666,7.243666,7.319999
145,34.144666,32.201333,24.398,7.309666,7.244666,7.317
146,34.059666,32.205333,24.330666,7.319999,7.241,7.311333
147,34.023666,32.157999,24.295333,7.321333,7.234666,7.309333
148,33.998666,32.138333,24.265,7.323,7.236333,7.305
149,34.006666,32.096999,24.273333,7.315666,7.242,7.301333
150,33.980999,32.047999,24.285333,7.324666,7.239999,7.291333
151,33.953333,31.954,24.265666,7.313,7.233,7.299666
152,33.910333,31.902,24.203666,7.304666,7.23,7.31
153,33.879333,31.865,24.065666,7.291666,7.245,7.329333
154,33.845,31.816333,24.014333,7.291,7.252333,7.328666
155,33.846333,31.758666,23.984333,7.289,7.250333,7.327666
156,33.810333,31.738,23.954666,7.281666,7.244666,7.312
157,33.756333,31.752,23.962666,7.282333,7.236999,7.304
158,33.662666,31.757,23.975666,7.289666,7.251333,7.295666
159,33.602666,31.714666,23.937666,7.298666,7.245,7.303666
160,33.599666,31.687666,23.817666,7.299333,7.245666,7.304999
161,33.624666,31.602666,23.733666,7.299333,7.244,7.305999
162,33.598333,31.505666,23.735666,7.292,7.244333,7.305333
163,33.538999,31.435333,23.699333,7.284,7.250666,7.300666
164,33.544333,31.479666,23.642,7.277,7.240333,7.297666
165,33.539666,31.529666,23.65,7.275666,7.243,7.285666
166,33.574333,31.497666,23.686333,7.270666,7.24,7.287
167,33.509666,31.443666,23.707,7.271666,7.243,7.285666
168,33.465999,31.419,23.624333,7.274333,7.236,7.284333
169,33.384333,31.429666,23.522666,7.274666,7.233333,7.282666
170,33.328,31.425,23.445666,7.273333,7.231,7.277666
171,33.296,31.406,23.487333,7.274,7.232666,7.276666
172,33.246666,31.342666,23.567666,7.281666,7.232333,7.277
173,33.232666,31.239666,23.566333,7.282999,7.229,7.278
174,33.259,31.175,23.495333,7.275333,7.228666,7.278333
175,33.284666,31.184,23.398333,7.272333,7.225666,7.276666
176,33.314666,31.227333,23.369666,7.270333,7.221333,7.278666
177,33.289666,31.206333,23.37,7.274333,7.224,7.276333
178,33.251666,31.131333,23.375333,7.272333,7.229666,7.279666
179,33.193666,31.123666,23.421666,7.267666,7.230333,7.282333
180,33.064,31.105333,23.357333,7.269666,7.236666,7.297666
181,33.026333,31.066,23.284333,7.276333,7.240333,7.294
182,33.009333,30.967333,23.164,7.274,7.243666,7.296333
183,33.048666,30.941333,23.182666,7.271333,7.234333,7.283333
184,33.004,30.980333,23.131333,7.267666,7.228666,7.280666
185,32.914666,30.971,23.214666,7.281666,7.242999,7.280666
186,32.903,30.931666,23.224333,7.273666,7.243333,7.280333
187,32.906,30.828666,23.295666,7.264666,7.234333,7.273666
188,32.954666,30.770333,23.202,7.25,7.228,7.265333
189,32.831333,30.702,23.063,7.250666,7.228999,7.266999
190,32.791333,30.759333,22.981,7.250333,7.236333,7.274
191,32.728666,30.772333,22.910333,7.257666,7.235333,7.268333
192,32.777666,30.844,22.906666,7.259333,7.236,7.265666
193,32.733999,30.785333,22.896333,7.265999,7.243666,7.265
194,32.701,30.749,22.912,7.266333,7.239333,7.266333
195,32.698666,30.723,22.946,7.271333,7.237666,7.259666
196,32.714666,30.722333,22.947666,7.263,7.236333,7.257666
197,32.706333,30.689333,22.908,7.254,7.242,7.264
198,32.704333,30.594333,22.871333,7.253,7.250666,7.272333
199,32.718,30.547,22.868,7.259,7.252666,7.28
200,32.699,30.556666,22.896333,7.266333,7.248666,7.282666
201,32.627333,30.576,22.903333,7.261333,7.244333,7.277666
202,32.548666,30.54,22.853333,7.254333,7.24,7.268333
203,32.532666,30.508666,22.794333,7.249999,7.235666,7.275666
204,32.535666,30.529333,22.762666,7.249999,7.231333,7.297333
205,32.526333,30.557666,22.749,7.250333,7.228333,7.306
206,32.518666,30.560666,22.719,7.242,7.232666,7.295
207,32.488,30.510666,22.655,7.237,7.236,7.277333
208,32.486999,30.468333,22.633666,7.238,7.232666,7.27
209,32.423666,30.48,22.631,7.242666,7.236666,7.263
210,32.395666,30.444,22.64,7.255,7.240666,7.258
211,32.289,30.384,22.663666,7.262999,7.249,7.259666
212,32.357666,30.336333,22.625333,7.263999,7.242999,7.263333
213,32.314,30.347666,22.602,7.250999,7.245666,7.275333
214,32.34,30.397333,22.500666,7.25,7.254,7.269333
215,32.326666,30.334666,22.479333,7.251,7.254333,7.266
216,32.362666,30.291333,22.424,7.255999,7.252666,7.261
217,32.337666,30.237,22.436333,7.257999,7.246666,7.261
218,32.23,30.207666,22.403,7.250333,7.245666,7.262
219,32.072666,30.202333,22.429,7.242999,7.245666,7.253333
220,31.993333,30.194666,22.394666,7.236,7.239333,7.261
221,31.958333,30.184,22.383,7.238,7.232,7.260666
222,32.02,30.148333,22.335333,7.237666,7.229666,7.254333
223,32.055,30.120333,22.336666,7.230666,7.23,7.252
224,32.033666,30.147333,22.341333,7.235333,7.242999,7.258333
225,32.048666,30.151,22.346333,7.237,7.245333,7.266666
226,32.082333,30.107,22.322666,7.235,7.245666,7.272666
227,32.087666,30.046333,22.307333,7.239666,7.243999,7.275333
228,32.066666,30.021,22.263,7.244,7.238333,7.282
229,31.994,29.988,22.23,7.241333,7.240666,7.274333
230,31.972333,29.968333,22.219333,7.233,7.238333,7.270333
231,31.964333,29.945,22.206,7.235,7.236,7.274666
232,31.985333,29.920333,22.166,7.238666,7.231666,7.278333
233,31.989,29.891,22.133666,7.236333,7.233666,7.272666
234,31.945333,29.890333,22.142333,7.232333,7.239,7.259333
235,31.874,29.913,22.177,7.232333,7.236,7.251333
236,31.810666,29.917666,22.195666,7.235333,7.226666,7.250666
237,31.792,29.911333,22.196,7.239333,7.221666,7.254
238,31.777666,29.891333,22.196666,7.244666,7.224666,7.26
239,31.764666,29.838666,22.158,7.241,7.231,7.262333
240,31.754333,29.757666,22.114666,7.233,7.237333,7.260666
241,31.725,29.725,22.084333,7.227666,7.243,7.241666
242,31.706,29.742666,22.087333,7.228,7.244,7.233666
243,31.669333,29.740666,22.057333,7.227666,7.243333,7.231999
244,31.72,29.754666,22.01,7.228333,7.237333,7.244
245,31.713666,29.745333,21.993333,7.233666,7.233333,7.242666
246,31.692333,29.721666,22.009666,7.228333,7.220999,7.245
247,31.592333,29.755,22.034666,7.236,7.221,7.254333
248,31.567,29.718333,21.968,7.231666,7.222666,7.27
249,31.561,29.701666,21.891666,7.238,7.236333,7.268
250,31.646333,29.653666,21.854333,7.230333,7.229333,7.260666
251,31.646,29.652666,21.896333,7.23,7.227333,7.252
252,31.598666,29.619333,21.937,7.236666,7.22,7.251666
253,31.483,29.586666,21.955333,7.237666,7.232333,7.250999
254,31.410333,29.562,21.941333,7.236666,7.234666,7.256666
255,31.433666,29.607,21.923,7.229666,7.240333,7.269666
256,31.469666,29.586333,21.883333,7.222333,7.243,7.279333
257,31.455,29.553666,21.857666,7.221666,7.249,7.282666
258,31.420333,29.515666,21.856,7.222,7.245,7.273333
259,31.392,29.487666,21.802,7.228666,7.237333,7.269666
260,31.426333,29.481333,21.747666,7.23,7.231,7.264
261,31.464,29.460333,21.718333,7.225,7.229,7.265
262,31.441,29.415666,21.734,7.229,7.237333,7.265666
263,31.407,29.385333,21.756333,7.240333,7.247333,7.261666
264,31.370333,29.375666,21.779666,7.248666,7.258333,7.253666
265,31.362333,29.379333,21.805333,7.244,7.261666,7.247666
266,31.364,29.381,21.799,7.232666,7.259333,7.245333
267,31.357333,29.372333,21.743666,7.229333,7.256666,7.243666
268,31.377333,29.369666,21.688666,7.226999,7.252999,7.245333
269,31.380666,29.353,21.684,7.219666,7.252333,7.255666
270,31.350666,29.298,21.680333,7.216999,7.248333,7.265
271,31.278333,29.279666,21.673333,7.226666,7.242333,7.264333
272,31.229,29.259666,21.625333,7.241333,7.242666,7.263333
273,31.193666,29.252,21.619,7.25,7.245333,7.258
274,31.181,29.184666,21.636666,7.241,7.244333,7.249333
275,31.147333,29.152,21.638333,7.227666,7.245333,7.238
276,31.143666,29.166,21.623,7.228666,7.246333,7.246666
277,31.150333,29.217,21.572,7.231333,7.246333,7.260333
278,31.174,29.194666,21.588666,7.245666,7.238,7.271333
279,31.168666,29.185666,21.546,7.239333,7.230666,7.263333
280,31.141333,29.162333,21.555666,7.238333,7.229333,7.264
281,31.185333,29.191333,21.481666,7.23,7.229666,7.258666
282,31.132333,29.175,21.491333,7.228333,7.242666,7.258666
283,31.217666,29.148333,21.454666,7.228,7.244,7.251666
284,31.203333,29.114,21.473666,7.233333,7.256,7.251333
285,31.286,29.138666,21.493333,7.234999,7.246,7.251333
286,31.216333,29.178,21.490333,7.236,7.250999,7.252
287,31.174,29.238666,21.469,7.225,7.246666,7.250666
288,31.110666,29.198333,21.443333,7.217,7.251,7.256333
289,31.079333,29.138666,21.459,7.214333,7.257999,7.263666
290,31.034666,29.067333,21.459666,7.220666,7.254666,7.262
291,30.973666,29.033333,21.455666,7.228,7.246999,7.252666
292,30.936,29.053333,21.422333,7.225333,7.239333,7.244666
293,30.921,29.047666,21.393333,7.221333,7.238333,7.247999
294,30.925333,29.031,21.345666,7.222,7.242666,7.257
295,30.904666,29.023,21.312,7.226999,7.245,7.257666
296,30.904,29.023,21.292,7.230333,7.248,7.253333
297,30.936,29.007333,21.269666,7.226,7.250666,7.248666
298,30.959,28.973666,21.255666,7.217333,7.250333,7.251333
299,30.952666,28.953666,21.241666,7.212333,7.247666,7.266
300,30.898333,28.939666,21.219333,7.215666,7.242333,7.276
301,30.89,28.921666,21.187333,7.225333,7.241666,7.272666
302,30.900333,28.922333,21.178,7.235666,7.242666,7.261666
303,30.914666,28.928,21.140666,7.234999,7.242999,7.251333
304,30.813,28.884333,21.16,7.232,7.244333,7.254333
305,30.752,28.830666,21.175666,7.220666,7.246666,7.267333
306,30.695666,28.802333,21.195666,7.221333,7.252666,7.268
307,30.759666,28.827333,21.212666,7.222333,7.254666,7.266666
308,30.765,28.837,21.144333,7.222333,7.267666,7.261666
309,30.816,28.857333,21.124666,7.222666,7.259666,7.262666
310,30.805666,28.858,21.065,7.222666,7.256666,7.269666
311,30.807666,28.851666,21.103666,7.227666,7.243,7.269
312,30.714,28.833333,21.103666,7.228,7.250999,7.268333
313,30.681,28.847,21.109333,7.228333,7.252,7.253
314,30.671333,28.838333,21.094666,7.222333,7.252666,7.239333
315,30.703333,28.813666,21.081666,7.220333,7.245666,7.244666
316,30.675,28.756,21.053333,7.22,7.244666,7.246
317,30.627666,28.758333,21.037,7.226666,7.244333,7.257
318,30.584,28.768,21.003666,7.227666,7.245333,7.258
319,30.578,28.769666,20.964333,7.222333,7.238333,7.265333
320,30.581666,28.73,20.904333,7.22,7.235999,7.266
321,30.572333,28.699666,20.883333,7.215,7.241999,7.266666
322,30.605333,28.691666,20.912666,7.218333,7.249666,7.271666
323,30.622,28.677666,20.918,7.222333,7.251666,7.269333
324,30.631666,28.649666,20.899333,7.224333,7.255666,7.257
325,30.586666,28.610333,20.867666,7.224,7.259333,7.246
326,30.539,28.584,20.875666,7.218999,7.26,7.247333
327,30.539,28.575,20.899,7.222,7.251666,7.256333
328,30.561333,28.579333,20.904666,7.229666,7.239666,7.26
329,30.560666,28.595333,20.893,7.231333,7.232333,7.252666
330,30.504666,28.600333,20.842333,7.228333,7.231666,7.246
331,30.451,28.595666,20.781666,7.221,7.237,7.250999
332,30.473,28.606666,20.754,7.214999,7.242,7.258999
333,30.524666,28.588,20.754,7.213333,7.250666,7.272333
334,30.539666,28.564,20.718,7.216666,7.245666,7.269333
335,30.511333,28.542666,20.702333,7.223333,7.243333,7.271
336,30.476333,28.572666,20.716333,7.222,7.244666,7.260999
337,30.435333,28.6,20.795333,7.219666,7.252,7.265666
338,30.395,28.598,20.784666,7.207,7.25,7.259666
339,30.408,28.59,20.769333,7.206333,7.244999,7.258666
340,30.446,28.536666,20.75,7.207333,7.245666,7.252666
341,30.402666,28.538333,20.732,7.220666,7.253333,7.26
342,30.374333,28.469,20.692666,7.221333,7.252333,7.26
343,30.348666,28.442,20.700666,7.222,7.245666,7.274333
344,30.347,28.433,20.708333,7.222666,7.244666,7.282333
345,30.273333,28.488,20.75,7.222,7.238,7.291333
346,30.27,28.500333,20.706333,7.214,7.236666,7.278333
347,30.287,28.451,20.649666,7.206333,7.241333,7.268666
348,30.368,28.372,20.602333,7.206,7.256333,7.267999
