,0.96 Trial 1,0.96 Trial 2,0.96 Trial 3,0.96-Triton Trial 1,0.96-Triton Trial 2,0.96-Triton Trial 3
Time,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity
1,350.237,358.142,363.271,254.313,265.723,274.405999
2,349.733666,357.865,361.884333,251.231666,262.665333,271.919
3,349.276,357.304666,360.783666,248.595333,260.197333,268.880666
4,348.516666,356.363333,360.426,246.208,258.267,265.115
5,348.127666,355.322,360.074666,243.856,256.814333,261.414333
6,347.625,354.317666,359.833666,241.320333,254.952333,258.267333
7,347.226,353.489666,359.186,239.094,253.032,255.890666
8,346.621666,352.881666,358.773666,236.688333,250.724,253.691333
9,346.09,352.47,358.407333,234.411666,248.752333,251.292333
10,345.813333,352.124333,358.084,231.915666,246.736666,248.855
11,345.437333,351.748,357.755,229.468,245.041333,246.504666
12,345.128333,351.341333,357.473333,227.164666,243.180333,244.296666
13,344.679333,351.037,357.104333,224.947333,241.479,242.079666
14,344.168,350.672666,356.768333,222.815333,239.863,239.969333
15,343.583666,350.295666,356.422666,220.607666,238.394,238.203
16,343.168666,349.841333,356.111333,218.423,236.788333,236.755333
17,342.892,349.244666,355.719333,216.402333,235.068666,235.350666
18,342.615666,348.701,355.283333,214.572333,233.435333,233.764
19,342.346666,348.428,354.962333,212.776666,231.793666,231.943333
20,342.017,348.394,354.719666,210.762666,230.187,230.042666
21,341.675333,348.318333,354.52,208.603,228.595666,228.277333
22,341.237,347.991,354.215333,206.493666,226.871666,226.564333
23,340.959333,347.784,354.005666,204.492,225.035666,224.910666
24,340.747666,347.719333,353.710666,202.641,223.078666,223.325333
25,340.42,347.785,353.425,200.639,221.354,221.538333
26,339.942666,347.813,353.191333,198.859,219.675,219.72
27,339.421666,348.118666,353.071666,197.178,218.149666,217.775666
28,339.124666,348.612,352.956999,195.633666,216.656,216.386666
29,338.715333,349.108,352.538333,194.094666,215.357666,215.119666
30,338.467666,349.049666,352.045333,192.391333,213.853333,213.737666
31,337.895,349.01,351.623333,190.669666,212.179666,212.019666
32,337.743333,349.054333,351.377666,188.746,210.529,210.248
33,337.108,349.222666,351.354666,186.827,209.023666,208.585333
34,336.911666,349.095,351.435666,185.146333,207.636666,206.859
35,336.410666,348.718666,351.429,183.540333,206.146,205.143666
