Trial,F_out0,F_in0,k_deg_out,k_deg_in,k_perm,R_squared,RMSE
0.64 DOPC in HEPES (A02),40.29930275761172,78.97240150246584,0.07028556737501,0.00044613559907200463,0.12480249530374435,0.9799987015051311,1.8601998307248953
0.64 DOPC in HEPES (A03),53.012805758283164,97.07215377828311,0.07028556737501,0.000441352916406064,0.12402250171027848,0.9773471022765157,2.436113930343037
0.64 DOPC in HEPES (A04),62.51018508307347,98.00863811529722,0.07028556737501,0.00036597579007637985,0.11728485625587075,0.9656409273856943,2.768305615084854
