Trial,F_out0,F_in0,k_deg_out,k_deg_in,k_perm,R_squared,RMSE
0.64 DOPC in HEPES (A02),22.034774610244042,54.23524151806179,0.0985661074999322,0.00020834959631697115,0.16281954876905458,0.8735806649925566,2.074275121171364
0.64 DOPC in HEPES (A03),30.51489482599226,81.21598256180543,0.0985661074999322,0.00017022763511197065,0.17147652421091228,0.8848500066243868,2.5178540999994756
0.64 DOPC in HEPES (A04),45.96102364080223,95.13577334856772,0.0985661074999322,0.0001833103159404764,0.17367390019089704,0.8722340482878223,3.3965936868600446
