Trial,F_out0,F_in0,k_deg_out,k_deg_in,k_perm,R_squared,RMSE
0.64 DOPC in HEPES (A02),22.041187270368063,54.16535612587347,0.0985661074999322,0.00020834504248298512,0.1622730544456657,0.8735936027151391,2.074168978061537
0.64 DOPC in HEPES (A03),30.5246140357356,81.13507823803211,0.0985661074999322,0.00017022319424617798,0.17172722900787693,0.8848689078114857,2.517647446125175
0.64 DOPC in HEPES (A04),45.974566158284105,95.03460903902875,0.0985661074999322,0.0001833023414787887,0.173861899767856,0.8722547539424645,3.396318450991323
