Trial,F_out0,F_in0,k_deg_out,k_deg_in,k_perm,R_squared,RMSE
0.16 Trial 1,58.06553621118148,248.02507191592005,0.015028953797504218,0.00029028868432385494,0.015033747890549514,0.999656228029075,0.39409583361414796
0.16 Trial 2,72.32728515858149,231.17292514843936,0.015028953797504218,0.00029688429510999577,0.008637796504025713,0.9989826078975056,0.7238860758393862
0.16 Trial 3,47.94992491380501,228.24109415431158,0.015028953797504218,0.0002638001216126003,0.013296173541126432,0.9994349012327043,0.4177686376383787
