Trial,F_out0,F_in0,k_deg_out,k_deg_in,k_perm,R_squared,RMSE
0.64 DOPC in HEPES (A02),40.310875553804344,78.6895675014726,0.07028556737501,0.0004461252426929151,0.12473048317896204,0.9800076606575483,1.8597831657642234
0.64 DOPC in HEPES (A03),53.03041563144749,96.72604457874996,0.07028556737501,0.00044134080294413823,0.12401201870195033,0.9773594086424265,2.4354521213643716
0.64 DOPC in HEPES (A04),62.534286967407404,97.70159371366282,0.07028556737501,0.00036596206954236243,0.11719600115354223,0.9656599425917894,2.7675394828395876
