Trial,F_out0,F_in0,k_deg_out,k_deg_in,k_perm,R_squared,RMSE
0.64 DOPC in HEPES (A02),40.29530205516012,78.97255789280155,0.07028556737501,0.00044613747765871167,0.12483880337766433,0.9799987017574502,1.8601998189915578
0.64 DOPC in HEPES (A03),53.01165889730225,97.07221566554276,0.07028556737501,0.00044135352476365924,0.12393634821034669,0.9773471022843132,2.4361139299237564
0.64 DOPC in HEPES (A04),62.5102557188774,98.00863582824722,0.07028556737501,0.0003659757691365023,0.1172807221941308,0.9656409273870656,2.76830561502961
