Trial,F_out0,F_in0,k_deg_out,k_deg_in,k_perm,R_squared,RMSE
Trial_1,65.91422256663512,302.79986345745556,0.015317293883240874,0.00022661570206506114,0.015076294518189773,0.9995400152695627,0.47914850273605
Trial_2,77.32821507340837,212.08538493493282,0.005952341615761643,0.0004554085506333327,0.005671958848523537,0.9998447892099347,0.3816985585508235
Trial_3,131.03389183341307,189.15674912245655,0.005364191590816757,0.0005153418410213896,0.005139983956049486,0.9998737783217774,0.49530418902175494
