Trial,F_out0,F_in0,k_deg_out,k_deg_in,k_perm,R_squared,RMSE
0.64 DOPC in HEPES (A02),13.55115103849302,51.148706059249264,0.007276616738978592,0.00016243872763044176,0.007124141384097903,0.908176935594969,1.7678096443357103
0.64 DOPC in HEPES (A03),19.085114641508696,78.82615234270594,0.0135165016739391,0.00014638484561807272,9.999999999999998,0.9208856759019116,2.0870178482932316
0.64 DOPC in HEPES (A04),26.352657794052412,90.120913508153,0.009268436183815145,0.00014062224798316072,9.999999999999998,0.9249196668528803,2.6037490614463445
