,31 Trial 1,31 Trial 2 ,31 Trial 3,31 Triton Trial 1,31 Triton Trial 2 ,31 Triton Trial 3
Time ,Intensity ,Intensity,Intensity,Intensity ,Intensity,Intensity
103,12.126666,29.042,12.435333,14.206666,13.022666,14.075666
104,12.108333,28.888666,12.418,14.123333,12.982666,14.073333
105,12.099666,28.786666,12.410333,14.114666,12.971333,14.018666
106,12.093333,28.705666,12.388333,14.113,12.942,13.932
107,12.053666,28.641333,12.38,14.092666,12.921666,13.869
108,12.002666,28.548666,12.370333,13.999,12.900666,13.820333
109,11.982,28.452666,12.366666,13.878333,12.877333,13.771
110,11.992666,28.386333,12.355666,13.778333,12.831333,13.728333
111,11.998666,28.327333,12.321666,13.709,12.766,13.705666
112,11.979,28.291,12.294666,13.670666,12.729666,13.686666
113,11.951,28.287,12.290333,13.627,12.734333,13.666333
114,11.937,28.252,12.293666,13.581666,12.741333,13.674666
115,11.954,28.161666,12.298666,13.539333,12.722,13.685666
116,11.957666,28.027,12.285,13.474,12.7,13.682
117,11.948333,27.918333,12.282,13.432,12.675,13.66
118,11.956666,27.813,12.273,13.374,12.663666,13.644
119,11.967,27.722,12.236333,13.373666,12.62,13.605333
120,11.963333,27.658666,12.239,13.329333,12.591,13.550666
121,11.903,27.62,12.242333,13.303333,12.569666,13.551666
122,11.848666,27.57,12.234666,13.246,12.546333,13.571666
123,11.847,27.534333,12.194666,13.207333,12.526333,13.533
124,11.875333,27.499666,12.177666,13.147666,12.524,13.465
125,11.905666,27.488333,12.217,13.08,12.530666,13.435333
126,11.884333,27.453666,12.244666,13.041,12.548666,13.458666
127,11.859,27.424666,12.211,13.019333,12.508,13.468333
128,11.839333,27.397,12.189666,13.018333,12.501333,13.435666
129,11.840333,27.314333,12.174,12.987333,12.468,13.426
130,11.866,27.275666,12.188333,12.936666,12.475666,13.425333
131,11.881,27.225333,12.187666,12.887,12.462,13.408666
132,11.882333,27.239333,12.173,12.862666,12.442666,13.370666
133,11.85,27.143,12.155,12.834,12.411666,13.309
134,11.847666,27.048333,12.129,12.794333,12.379333,13.266666
135,11.863666,26.969,12.136666,12.736333,12.390666,13.23
136,11.905333,26.942666,12.150666,12.705666,12.408,13.208333
137,11.914,26.911333,12.169666,12.667333,12.428333,13.205333
138,11.889,26.883333,12.173,12.613333,12.423666,13.212333
139,11.843,26.87,12.178333,12.57,12.416,13.199
140,11.790666,26.853,12.178,12.553,12.409,13.18
141,11.742,26.788666,12.179666,12.540666,12.416,13.178
142,11.719,26.681333,12.176666,12.517666,12.430333,13.186666
143,11.725,26.600666,12.155,12.497,12.422333,13.193
144,11.736333,26.587,12.134333,12.484666,12.394,13.182666
145,11.746666,26.615333,12.122,12.474333,12.357333,13.149666
146,11.729333,26.634666,12.121333,12.449,12.345,13.123
