,Trial 1,Trial 2,Trial 3,Triton Trial 1,Triton Trial 2,Triton Trial 3
Time,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity
104,80.976333,45.849333,42.287333,11.580333,19.737333,8.287333
105,80.642999,45.443333,41.997,11.490333,19.648333,8.268999
106,80.225666,45.017,41.698333,11.386,19.574333,8.204666
107,79.791666,44.654,41.355666,11.269666,19.488666,8.127666
108,79.402333,44.383,41.06,11.174666,19.370666,8.051
109,79.107333,44.138666,40.800666,11.074,19.259333,7.988999
110,78.854666,43.851666,40.560333,10.969,19.177666,7.947666
111,78.556333,43.540333,40.292333,10.865666,19.091666,7.908333
112,78.232999,43.223,39.961666,10.783333,18.978333,7.852
113,77.909666,42.916666,39.645666,10.750333,18.87,7.784666
114,77.581333,42.655333,39.343666,10.707,18.781,7.728
115,77.276333,42.360333,39.015333,10.653666,18.679666,7.681333
116,76.887666,42.016,38.729333,10.577,18.566666,7.653333
117,76.519666,41.624666,38.452333,10.506666,18.429666,7.622333
118,76.103999,41.342333,38.205333,10.456333,18.336333,7.595666
119,75.681,41.087333,37.995,10.403666,18.222,7.558666
120,75.337666,40.858999,37.763333,10.355333,18.121666,7.507333
121,74.991666,40.648999,37.570666,10.336666,17.989333,7.471333
122,74.785333,40.483,37.252,10.339333,17.907,7.451666
123,74.472333,40.252666,37.017666,10.344333,17.870666,7.438
124,74.122333,39.951333,36.727333,10.309333,17.842,7.420333
125,73.673333,39.589666,36.455666,10.287,17.766,7.396666
126,73.203333,39.300999,36.095333,10.257333,17.678333,7.372666
127,72.915666,39.076333,35.864999,10.232,17.582666,7.372
128,72.623333,38.888333,35.739333,10.177,17.459666,7.358333
129,72.318,38.704333,35.576666,10.110333,17.323666,7.357333
130,71.972666,38.418666,35.365333,10.059666,17.289666,7.337
131,71.628666,38.226333,35.066,9.995333,17.212333,7.327333
132,71.257666,37.936666,34.892666,9.946332,17.113,7.325666
133,70.918666,37.691666,34.627333,9.911,16.977,7.32
134,70.680666,37.407666,34.440333,9.908999,16.9,7.312666
135,70.529666,37.272666,34.248333,9.913333,16.852333,7.293333
136,70.253333,37.071333,34.137,9.876666,16.788666,7.286
137,69.893333,36.844666,33.946333,9.825666,16.732666,7.281
138,69.531666,36.586666,33.731666,9.760332,16.667333,7.277666
139,69.205333,36.403,33.506333,9.694333,16.591333,7.267666
140,68.868666,36.212,33.326333,9.632999,16.541666,7.252333
141,68.536999,35.971666,33.112666,9.584999,16.525,7.241
142,68.239666,35.761333,32.820666,9.537333,16.505,7.238
143,67.946666,35.571,32.552333,9.479998,16.456333,7.242666
144,67.652999,35.400666,32.342666,9.429,16.392,7.247333
145,67.344333,35.25,32.203,9.384,16.346333,7.248
146,67.038,35.052,32.062666,9.347,16.315666,7.248
147,66.763666,34.877666,31.907333,9.311,16.249,7.245
148,66.511333,34.657666,31.749666,9.296666,16.188666,7.235666
149,66.363333,34.463666,31.566,9.282666,16.120666,7.226666
150,66.236999,34.253,31.421,9.266332,16.077333,7.219666
151,66,34.079,31.289333,9.236,16.012,7.219333
152,65.736999,33.992,31.093,9.177666,16.09,7.211666
153,65.515666,33.913999,30.916,9.153665,16.725,7.204
154,65.268666,33.732666,30.705333,9.111333,17.185666,7.189666
155,64.983666,33.489999,30.589,9.084333,17.407333,7.173666
156,64.665333,33.242666,30.455333,9.061332,17.039,7.159666
157,64.500333,32.999,30.320666,9.055666,16.773666,7.166666
158,64.357999,32.836666,30.129666,9.047666,16.610333,7.182666
159,64.181,32.673,29.937,8.989998,16.467,7.191666
160,63.953333,32.538333,29.776,8.968332,16.371333,7.183666
161,63.675,32.393333,29.651,8.966333,16.278,7.169999
162,63.450333,32.241666,29.491666,8.973666,16.187333,7.167
163,63.206666,32.119666,29.364333,8.966333,16.122,7.155333
164,62.971666,31.979333,29.247,8.946999,16.068,7.145666
165,62.705,31.849333,29.121666,8.946332,16.018333,7.126333
166,62.515333,31.749,28.929666,8.950666,15.980333,7.120666
167,62.413,31.606,28.781,8.944333,15.917,7.116333
168,62.23,31.404666,28.663333,8.918666,15.837,7.113333
169,62.007333,31.202,28.591,8.878333,15.723333,7.108
170,61.716666,31.017666,28.490666,8.844999,15.614666,7.100333
171,61.44,30.856666,28.351666,8.823333,15.528,7.093
172,61.168666,30.718666,28.212,8.811,15.458333,7.085
173,60.969666,30.606,28.072333,8.800666,15.397333,7.081333
174,60.831,30.513,27.936666,8.784666,15.328666,7.084333
175,60.584333,30.405666,27.810333,8.773999,15.262,7.089
176,60.317666,30.25,27.682,8.766666,15.219333,7.083666
177,60.012333,30.081,27.557666,8.743665,15.191,7.062666
178,59.816666,29.917666,27.434,8.720333,15.139666,7.034333
179,59.592666,29.787666,27.347666,8.701665,15.079666,7.02
180,59.443666,29.665666,27.276333,8.728332,15.007666,7.021666
181,59.375333,29.526,27.147666,8.737,14.916333,7.004
182,59.244333,29.385,26.903333,8.727,14.816,7.005
