Trial,F_out0,F_in0,k_deg_out,k_deg_in,k_perm,R_squared,RMSE
30 mm Decanoic in HEPES (A02),21.43474160356233,10.90280733351892,0.022452566928006273,0.00047759801647084284,0.021933424514344716,0.8412702382341408,1.4624863894986
30 mm Decanoic in HEPES (A03),32.2558966527644,4.376964178534477,0.043926190256292054,0.0007183145395811288,0.04311275970888643,0.9951488559000796,0.208442762673823
30 mm Decanoic in HEPES (A04),33.52744570807623,2.06242039798174,0.04897385080151142,0.0005127075470168682,0.0486010819881562,0.9985262959568185,0.10374635189106159
