Trial,F_out0,F_in0,k_deg_out,k_deg_in,k_perm,R_squared,RMSE
40 mm Decanoic in HEPES (A02),9.346837137321131,7.146610551950376,0.026398897303756663,0.002640584625875021,1.1770067415457135,0.9719561531163942,0.41480037251555957
40 mm Decanoic in HEPES (A03),10.661711453959393,8.367984021453339,0.026398897303756663,0.003193405854382421,0.03972895877487688,0.8461537348249353,1.1353311954391434
40 mm Decanoic in HEPES (A04),7.780687958194571,26.712313012478802,0.026398897303756663,0.008187154522801648,9.999999999999998,0.9810891966413617,0.7362022383947674
