Trial,F_out0,F_in0,k_deg_out,k_deg_in,k_perm,R_squared,RMSE
31 Trial 1,42.64919490554317,12.53876598645703,0.09151674629221072,0.00041794902738344765,0.0911422054394069,0.9981887447763426,0.17656412240385105
31 Trial 2 ,49.838306750259086,27.737188254621188,0.029850926321204684,0.0005458105170808387,0.02932335723805197,0.9945388218833913,0.6745774335808423
31 Trial 3,37.16596177672611,12.920904789441733,0.06506019931718933,0.0004841228497138948,0.0645829069041534,0.9984450011433932,0.17404110872731043
