Trial,F_out0,F_in0,k_deg_out,k_deg_in,k_perm,R_squared,RMSE
0.64 Trial 1,64.42364078344598,310.3239792384631,0.018182883115611424,0.00024706524627311034,0.030778479799433,0.9988811099608992,0.747295094802565
0.64 Trial 2,39.639873830209496,261.0974901074968,0.018182883115611424,0.0006846011519470574,0.03269331939579102,0.9964897601940268,1.8152145268659516
0.64 Trial 3,61.78671867284708,276.3279680414616,0.018182883115611424,0.0009942533373358407,0.031981241900833755,0.9955251105088547,2.949145389554415
