Trial,F_out0,F_in0,k_deg_out_fixed,k_deg_in,k_perm,R_squared,RMSE
Sample 2 DS in HEPES (A02),33.02698502120928,10.646973162678004,0.13627557378054736,0.003701376778786328,0.23976140541491803,0.9830982048056404,0.4488781170238366
Sample 2 DS in HEPES (A03),32.81354582763786,9.266820988089306,0.13627557378054736,0.00360584833603318,0.2409273774305114,0.9821365112530948,0.4221087698614588
Sample 2 DS in HEPES (A04),32.46833318952639,8.736652176944942,0.13627557378054736,0.0038690151605386934,0.24005995823363446,0.9813536554623268,0.411837548205259
